cliente_id,total_atendimentos,total_gasto,ticket_medio,dias_desde_ultimo_atendimento,intervalo_medio_atendimentos,atendimentos_30d,atendimentos_90d,gasto_90d,quantidade_servicos_diferentes,quantidade_profissionais_diferentes,target_churn
mock-cli-00084,8,1733.7,216.71,29,45.0,1,2,843.87,9,7,1
mock-cli-00085,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00086,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,1
mock-cli-00087,2,238.94,119.47,109,30.0,0,0,0.0,2,2,1
mock-cli-00088,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00089,3,491.05,163.68,2,146.0,1,1,156.37,4,3,1
mock-cli-00090,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00091,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,1
mock-cli-00092,4,396.27,99.07,184,80.67,0,0,0.0,5,3,1
mock-cli-00093,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,1
mock-cli-00094,2,239.75,119.88,41,45.0,0,2,239.75,3,2,0
mock-cli-00095,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00096,2,192.96,96.48,135,46.0,0,0,0.0,2,2,1
mock-cli-00097,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00098,5,1076.03,215.21,54,77.75,0,1,133.87,5,5,1
mock-cli-00099,4,1389.99,347.5,11,24.67,1,4,1389.99,7,4,0
mock-cli-00100,3,247.52,82.51,66,60.5,0,1,52.18,3,3,0
mock-cli-00101,10,1752.83,175.28,33,32.78,0,2,457.32,14,7,0
mock-cli-00102,1,140.8,140.8,27,0.0,1,1,140.8,1,1,0
mock-cli-00103,1,96.27,96.27,79,0.0,0,1,96.27,1,1,0
mock-cli-00104,12,3129.74,260.81,59,32.73,0,1,148.39,9,7,0
mock-cli-00105,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00106,3,912.28,304.09,17,47.0,1,2,230.76,5,3,1
mock-cli-00107,3,739.94,246.65,19,21.0,1,3,739.94,6,3,0
mock-cli-00108,3,325.78,108.59,37,46.5,0,2,258.4,4,3,0
mock-cli-00109,3,1144.65,381.55,39,48.5,0,1,744.32,5,2,0
mock-cli-00110,1,193.92,193.92,41,0.0,0,1,193.92,2,1,0
mock-cli-00111,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,1
mock-cli-00112,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00113,2,319.17,159.59,7,144.0,1,1,222.08,4,2,1
mock-cli-00114,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00115,6,981.74,163.62,71,55.6,0,1,131.57,8,6,0
mock-cli-00116,3,448.77,149.59,86,52.5,0,1,197.22,4,2,0
mock-cli-00117,3,405.54,135.18,2,108.0,1,1,201.83,4,3,0
mock-cli-00118,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00119,2,290.63,145.31,94,64.0,0,0,0.0,3,1,0
mock-cli-00120,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,1
mock-cli-00121,6,2065.58,344.26,8,76.2,1,2,826.65,8,5,0
mock-cli-00122,2,291.22,145.61,177,102.0,0,0,0.0,3,2,0
mock-cli-00123,2,189.07,94.54,30,72.0,1,1,152.05,2,2,1
mock-cli-00124,9,2707.81,300.87,16,34.62,1,3,909.46,9,6,0
mock-cli-00125,2,739.74,369.87,65,68.0,0,1,646.24,3,2,0
mock-cli-00126,1,125.67,125.67,337,0.0,0,0,0.0,1,1,1
mock-cli-00127,6,1036.18,172.7,24,49.4,1,2,373.45,9,6,0
mock-cli-00128,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,1
mock-cli-00129,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00130,8,1461.64,182.7,41,51.57,0,2,288.11,8,5,1
mock-cli-00131,5,571.83,114.37,23,78.0,1,2,178.53,6,5,0
mock-cli-00132,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00133,4,788.19,197.05,19,68.33,1,1,622.47,4,4,0
mock-cli-00134,2,129.63,64.81,61,52.0,0,1,51.87,2,1,1
mock-cli-00135,4,877.6,219.4,5,39.33,2,3,700.39,8,4,0
mock-cli-00136,9,1650.44,183.38,0,53.75,1,2,843.44,11,8,1
mock-cli-00137,4,270.64,67.66,19,68.0,1,2,171.46,3,4,1
mock-cli-00138,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,1
mock-cli-00139,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,1
mock-cli-00140,6,1518.91,253.15,34,26.2,0,3,352.34,7,5,0
mock-cli-00141,5,945.84,189.17,9,29.25,1,3,690.5,10,4,0
mock-cli-00142,13,2335.08,179.62,27,34.0,1,3,493.2,14,7,0
mock-cli-00143,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,1
mock-cli-00144,1,100.12,100.12,36,0.0,0,1,100.12,1,1,0
mock-cli-00145,7,967.43,138.2,114,43.83,0,0,0.0,7,3,0
mock-cli-00146,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00147,2,293.95,146.97,9,31.0,1,2,293.95,4,2,0
mock-cli-00148,1,131.58,131.58,26,0.0,1,1,131.58,1,1,0
mock-cli-00149,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,1
mock-cli-00150,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,1
mock-cli-00151,2,249.1,124.55,22,76.0,1,1,135.88,2,2,1
mock-cli-00152,8,1353.86,169.23,39,43.86,0,1,40.61,9,8,0
mock-cli-00153,2,433.26,216.63,1,30.0,1,2,433.26,3,2,0
mock-cli-00154,1,48.16,48.16,198,0.0,0,0,0.0,1,1,0
mock-cli-00155,2,256.52,128.26,12,93.0,1,1,161.67,3,2,1
mock-cli-00156,5,698.47,139.69,9,47.0,1,2,357.94,6,4,0
mock-cli-00157,1,62.59,62.59,175,0.0,0,0,0.0,1,1,0
mock-cli-00158,7,1939.52,277.07,6,24.33,2,4,763.45,11,7,0
mock-cli-00159,2,287.86,143.93,25,87.0,1,1,172.36,2,2,0
mock-cli-00160,3,528.33,176.11,4,59.5,1,2,438.1,4,3,0
mock-cli-00161,3,162.86,54.29,8,167.5,1,2,114.96,3,2,0
mock-cli-00162,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,1
mock-cli-00163,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00164,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00165,1,62.48,62.48,51,0.0,0,1,62.48,1,1,1
mock-cli-00166,4,936.62,234.15,13,33.0,1,3,761.36,5,4,0
mock-cli-00167,9,1251.77,139.09,13,26.12,1,3,430.21,8,8,0
mock-cli-00168,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,1
mock-cli-00169,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00170,13,3427.81,263.68,3,29.5,1,3,1168.63,13,8,0
mock-cli-00171,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,1
mock-cli-00172,5,624.45,124.89,93,58.0,0,0,0.0,4,5,1
mock-cli-00173,5,2119.22,423.84,12,26.5,1,4,1807.73,9,4,0
mock-cli-00174,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,1
mock-cli-00175,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00176,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00177,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00178,3,381.16,127.05,6,185.5,1,1,43.04,4,2,1
mock-cli-00179,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00180,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,1
mock-cli-00181,9,2028.73,225.41,8,32.5,1,4,1321.45,11,6,0
mock-cli-00182,2,189.76,94.88,36,76.0,0,1,137.29,3,1,0
mock-cli-00183,2,228.83,114.41,12,99.0,1,1,143.41,2,2,1
mock-cli-00184,1,43.73,43.73,7,0.0,1,1,43.73,1,1,1
mock-cli-00185,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00186,3,459.35,153.12,3,52.0,1,2,201.63,4,3,1
mock-cli-00187,5,1210.06,242.01,17,64.25,1,1,827.48,4,4,0
mock-cli-00188,5,950.59,190.12,85,43.5,0,1,191.73,7,3,1
mock-cli-00189,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00190,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00191,3,235.75,78.58,121,64.0,0,0,0.0,3,3,1
mock-cli-00192,3,394.58,131.53,17,163.0,1,1,33.8,5,3,1
mock-cli-00193,2,196.76,98.38,18,99.0,1,1,76.03,3,2,0
mock-cli-00194,1,349.86,349.86,350,0.0,0,0,0.0,2,1,0
mock-cli-00195,3,152.83,50.94,38,90.5,0,1,64.22,3,2,1
mock-cli-00196,1,104.94,104.94,6,0.0,1,1,104.94,2,1,0
mock-cli-00197,1,332.16,332.16,20,0.0,1,1,332.16,2,1,1
mock-cli-00198,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00199,7,1227.24,175.32,18,28.83,1,3,649.67,10,7,0
mock-cli-00200,14,3160.32,225.74,7,31.31,2,3,463.85,17,9,0
mock-cli-00201,4,350.76,87.69,59,63.33,0,1,82.67,4,4,0
mock-cli-00202,1,52.71,52.71,122,0.0,0,0,0.0,1,1,1
mock-cli-00203,2,336.18,168.09,10,65.0,1,2,336.18,2,2,0
mock-cli-00204,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,1
mock-cli-00205,6,635.78,105.96,48,35.6,0,2,193.77,6,6,1
mock-cli-00206,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00207,2,190.22,95.11,24,70.0,1,1,91.59,3,2,1
mock-cli-00208,4,1337.18,334.3,8,37.33,1,3,1161.23,8,4,0
mock-cli-00209,1,174.33,174.33,22,0.0,1,1,174.33,2,1,0
mock-cli-00210,1,173.88,173.88,40,0.0,0,1,173.88,2,1,0
mock-cli-00211,1,85.62,85.62,117,0.0,0,0,0.0,1,1,0
mock-cli-00212,4,591.02,147.75,15,26.67,1,3,416.35,5,4,0
mock-cli-00213,1,163.89,163.89,37,0.0,0,1,163.89,1,1,1
mock-cli-00214,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00215,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00216,4,1054.78,263.69,15,112.67,1,2,928.2,5,4,0
mock-cli-00217,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,1
mock-cli-00218,3,467.77,155.92,22,49.5,1,2,388.95,4,3,1
mock-cli-00219,4,605.44,151.36,13,27.33,1,3,456.19,5,3,0
mock-cli-00220,6,1088.46,181.41,11,81.4,1,2,504.73,9,5,0
mock-cli-00221,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00222,8,2641.76,330.22,23,35.86,1,3,1125.87,11,5,0
mock-cli-00223,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00224,3,253.72,84.57,8,140.0,1,1,160.6,3,3,1
mock-cli-00225,4,767.98,192.0,89,105.33,0,1,150.71,4,4,0
mock-cli-00226,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00227,5,628.92,125.78,49,61.5,0,2,186.86,6,5,1
mock-cli-00228,1,132.55,132.55,30,0.0,1,1,132.55,1,1,0
mock-cli-00229,4,1221.51,305.38,10,31.67,1,3,1059.89,6,4,0
mock-cli-00230,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,1
mock-cli-00231,3,488.13,162.71,1,35.0,1,3,488.13,5,2,0
mock-cli-00232,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00233,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,1
mock-cli-00234,6,1362.9,227.15,38,64.8,0,1,677.47,7,5,0
mock-cli-00235,6,896.69,149.45,29,68.4,1,2,232.59,5,5,0
mock-cli-00236,5,893.08,178.62,1,60.75,1,2,329.46,7,4,1
mock-cli-00237,2,260.14,130.07,43,79.0,0,1,123.21,1,1,0
mock-cli-00238,7,1556.29,222.33,12,36.0,1,3,694.2,10,6,0
mock-cli-00239,6,581.63,96.94,89,47.2,0,1,77.05,7,3,1
mock-cli-00240,3,1632.58,544.19,32,32.0,0,2,950.85,4,2,0
mock-cli-00241,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00242,5,535.85,107.17,108,61.5,0,0,0.0,4,3,0
mock-cli-00243,7,556.0,79.43,48,56.33,0,1,33.85,6,6,1
mock-cli-00244,5,1195.14,239.03,4,67.0,1,1,158.59,6,4,1
mock-cli-00245,4,1225.59,306.4,38,27.67,0,2,85.49,6,3,0
mock-cli-00246,5,1092.96,218.59,11,66.0,1,2,295.21,5,3,1
mock-cli-00247,2,803.53,401.76,1,217.0,1,1,125.23,3,2,0
mock-cli-00248,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00249,2,126.16,63.08,122,68.0,0,0,0.0,2,1,0
mock-cli-00250,3,448.42,149.47,94,63.0,0,0,0.0,4,3,0
mock-cli-00251,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00252,2,169.96,84.98,32,52.0,0,2,169.96,3,2,1
mock-cli-00253,1,165.68,165.68,60,0.0,0,1,165.68,1,1,0
mock-cli-00254,4,428.64,107.16,18,80.0,1,2,265.87,4,4,0
mock-cli-00255,6,1821.81,303.63,5,68.0,1,2,917.17,9,5,0
mock-cli-00256,1,78.77,78.77,182,0.0,0,0,0.0,1,1,0
mock-cli-00257,2,327.92,163.96,28,47.0,1,2,327.92,2,2,0
mock-cli-00258,8,1951.76,243.97,2,32.86,1,3,515.23,10,6,0
mock-cli-00259,6,1577.87,262.98,15,23.6,1,3,344.71,10,5,0
mock-cli-00260,1,347.59,347.59,2,0.0,1,1,347.59,2,1,1
mock-cli-00261,1,123.06,123.06,51,0.0,0,1,123.06,1,1,0
mock-cli-00262,1,75.4,75.4,160,0.0,0,0,0.0,1,1,0
mock-cli-00263,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00264,9,2647.38,294.15,29,33.0,1,2,629.77,10,6,0
mock-cli-00265,4,721.84,180.46,16,45.33,1,2,325.19,4,4,0
mock-cli-00266,1,86.73,86.73,40,0.0,0,1,86.73,2,1,1
mock-cli-00267,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00268,4,845.21,211.3,6,48.33,1,2,509.56,6,4,0
mock-cli-00269,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00270,9,2926.12,325.12,14,31.75,1,3,1792.12,11,6,0
mock-cli-00271,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00272,6,1229.16,204.86,11,53.6,1,2,312.53,8,6,1
mock-cli-00273,1,43.26,43.26,7,0.0,1,1,43.26,1,1,1
mock-cli-00274,1,152.43,152.43,88,0.0,0,1,152.43,1,1,1
mock-cli-00275,2,392.7,196.35,8,69.0,1,2,392.7,3,2,1
mock-cli-00276,2,266.5,133.25,13,103.0,1,1,126.42,1,2,0
mock-cli-00277,1,191.31,191.31,18,0.0,1,1,191.31,2,1,1
mock-cli-00278,3,235.65,78.55,77,53.5,0,1,143.45,4,3,1
mock-cli-00279,3,511.82,170.61,29,65.0,1,2,303.11,3,3,1
mock-cli-00280,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00281,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00282,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00283,3,687.8,229.27,76,31.0,0,1,343.91,6,2,0
mock-cli-00284,8,1278.34,159.79,6,52.0,1,2,108.01,8,7,0
mock-cli-00285,5,498.05,99.61,75,77.0,0,1,185.76,4,5,1
mock-cli-00286,11,2838.43,258.04,58,29.9,0,2,672.74,17,6,0
mock-cli-00287,3,340.65,113.55,7,55.0,1,2,307.68,3,3,0
mock-cli-00288,8,2163.67,270.46,27,33.86,1,3,952.46,13,5,0
mock-cli-00289,2,279.02,139.51,24,24.0,1,2,279.02,3,2,0
mock-cli-00290,2,393.59,196.79,176,79.0,0,0,0.0,3,2,1
mock-cli-00291,3,542.26,180.75,43,78.0,0,2,328.73,5,3,0
mock-cli-00292,12,1451.81,120.98,33,30.55,0,1,69.94,11,10,0
mock-cli-00293,6,1594.56,265.76,44,63.6,0,1,55.07,8,5,1
mock-cli-00294,10,1752.47,175.25,18,40.78,1,1,48.81,11,7,0
mock-cli-00295,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00296,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,1
mock-cli-00297,2,669.99,335.0,4,108.0,1,1,614.54,2,2,1
mock-cli-00298,1,342.95,342.95,66,0.0,0,1,342.95,2,1,0
mock-cli-00299,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00300,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00301,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,1
mock-cli-00302,1,52.57,52.57,10,0.0,1,1,52.57,1,1,0
mock-cli-00303,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00304,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00305,3,491.91,163.97,50,47.0,0,1,59.22,5,3,1
mock-cli-00306,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00307,3,374.31,124.77,8,37.5,1,3,374.31,4,3,0
mock-cli-00308,4,1288.91,322.23,114,66.67,0,0,0.0,6,3,0
mock-cli-00309,2,217.89,108.94,275,66.0,0,0,0.0,2,2,1
mock-cli-00310,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,1
mock-cli-00311,1,188.3,188.3,13,0.0,1,1,188.3,1,1,0
mock-cli-00312,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00313,4,608.49,152.12,4,38.67,1,2,192.62,6,4,0
mock-cli-00314,2,462.05,231.02,29,45.0,1,2,462.05,2,2,1
mock-cli-00315,2,214.32,107.16,18,50.0,1,2,214.32,3,2,1
mock-cli-00316,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00317,2,76.75,38.38,102,63.0,0,0,0.0,2,1,0
mock-cli-00318,1,43.04,43.04,53,0.0,0,1,43.04,1,1,1
mock-cli-00319,6,1443.82,240.64,127,37.4,0,0,0.0,7,4,1
mock-cli-00320,3,1248.79,416.26,22,68.0,1,2,949.72,6,3,0
mock-cli-00321,2,130.8,65.4,127,102.0,0,0,0.0,3,2,0
mock-cli-00322,4,484.68,121.17,165,39.33,0,0,0.0,4,4,1
mock-cli-00323,1,89.16,89.16,52,0.0,0,1,89.16,2,1,0
mock-cli-00324,2,335.49,167.75,20,117.0,1,1,76.69,3,2,1
mock-cli-00325,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,1
mock-cli-00326,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00327,2,411.97,205.99,13,46.0,1,2,411.97,4,2,1
mock-cli-00328,3,391.78,130.59,42,77.0,0,1,187.81,3,2,0
mock-cli-00329,1,63.85,63.85,67,0.0,0,1,63.85,1,1,1
mock-cli-00330,1,813.75,813.75,34,0.0,0,1,813.75,2,1,1
mock-cli-00331,8,1632.31,204.04,42,53.0,0,1,84.74,11,6,0
mock-cli-00332,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00333,3,409.43,136.48,38,193.5,0,1,172.21,3,3,0
mock-cli-00334,3,900.35,300.12,5,74.5,1,2,835.62,3,2,0
mock-cli-00335,2,719.41,359.71,21,112.0,1,1,55.2,2,2,1
mock-cli-00336,1,158.25,158.25,263,0.0,0,0,0.0,1,1,0
mock-cli-00337,6,2109.06,351.51,25,48.0,1,2,946.14,7,4,0
mock-cli-00338,1,46.95,46.95,198,0.0,0,0,0.0,1,1,1
mock-cli-00339,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00340,4,602.95,150.74,13,30.0,1,3,382.86,5,2,0
mock-cli-00341,4,1337.69,334.42,143,39.33,0,0,0.0,5,4,1
mock-cli-00342,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,1
mock-cli-00343,10,2793.7,279.37,30,33.78,1,3,1095.51,13,7,0
mock-cli-00344,3,459.03,153.01,2,67.0,1,1,87.99,5,3,0
mock-cli-00345,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
mock-cli-00346,6,900.87,150.15,17,35.0,1,2,227.76,8,5,0
mock-cli-00347,2,534.27,267.13,22,32.0,1,2,534.27,4,2,0
mock-cli-00348,0,0.0,0.0,-1,0.0,0,0,0.0,0,0,0
